"filename", "language", "Dart", "comment", "blank", "total"
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/app.dart", "Dart", 68, 1, 3, 72
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/app_const/app_colors.dart", "Dart", 19, 0, 2, 21
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/app_const/app_exports.dart", "Dart", 113, 0, 2, 115
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/app_const/app_icons.dart", "Dart", 26, 0, 3, 29
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/app_const/app_page_animation.dart", "Dart", 16, 0, 2, 18
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/app_const/app_pages.dart", "Dart", 59, 5, 4, 68
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/app_const/app_routes.dart", "Dart", 18, 0, 1, 19
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/accept_online/data/models/user_unverified_model.dart", "Dart", 53, 3, 12, 68
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/accept_online/presentation/blocs/blocs/accept_online_bloc.dart", "Dart", 25, 2, 7, 34
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/accept_online/presentation/blocs/blocs/accept_online_event.dart", "Dart", 10, 0, 5, 15
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/accept_online/presentation/blocs/blocs/accept_online_state.dart", "Dart", 8, 13, 6, 27
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/accept_online/presentation/pages/admin_accept_online.dart", "Dart", 86, 3, 5, 94
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/accept_online/presentation/widgets/accept_widget.dart", "Dart", 105, 0, 3, 108
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/accept_online/repository/accept_online_repo.dart", "Dart", 79, 0, 6, 85
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/auth_feature/data/models/user_model.dart", "Dart", 72, 3, 16, 91
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/auth_feature/presentation/blocs/auth_bloc.dart", "Dart", 52, 6, 10, 68
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/auth_feature/presentation/blocs/auth_event.dart", "Dart", 14, 0, 10, 24
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/auth_feature/presentation/blocs/auth_state.dart", "Dart", 32, 1, 6, 39
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/auth_feature/presentation/pages/auth_page.dart", "Dart", 153, 20, 8, 181
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/auth_feature/repository/auth_repo.dart", "Dart", 45, 0, 4, 49
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/data/data_src/hive_local_data_src.dart", "Dart", 22, 9, 6, 37
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/data/data_src/local_data_src.dart", "Dart", 124, 17, 29, 170
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/data/models/search_customer/search_customer.dart", "Dart", 112, 0, 11, 123
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/data/models/seller_model/sellers_model.dart", "Dart", 25, 3, 9, 37
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/data/models/selling/empty_selling.dart", "Dart", 51, 3, 8, 62
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/data/models/selling/not_sold_selling.dart", "Dart", 59, 3, 8, 70
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/data/models/selling/sold_selling.dart", "Dart", 63, 3, 8, 74
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/data/models/usermodel/hive_usermodel.dart", "Dart", 11, 0, 2, 13
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/data/models/usermodel/hive_usermodel.g.dart", "Dart", 35, 4, 8, 47
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/presentation/blocs/main_feature_bloc.dart", "Dart", 12, 0, 3, 15
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/presentation/blocs/main_feature_event.dart", "Dart", 10, 0, 11, 21
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/presentation/blocs/main_feature_state.dart", "Dart", 21, 1, 4, 26
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/main_feature/presentation/pages/main_page.dart", "Dart", 103, 0, 8, 111
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/profile/data/models/user_online_model.dart", "Dart", 34, 3, 8, 45
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/profile/data/models/user_profile_model.dart", "Dart", 54, 3, 13, 70
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/profile/presentation/blocs/profile_bloc.dart", "Dart", 41, 11, 11, 63
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/profile/presentation/blocs/profile_event.dart", "Dart", 12, 0, 7, 19
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/profile/presentation/blocs/profile_state.dart", "Dart", 29, 0, 3, 32
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/profile/presentation/pages/profile_page.dart", "Dart", 146, 2, 9, 157
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/profile/presentation/widgets/online_tile.dart", "Dart", 38, 1, 4, 43
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/profile/presentation/widgets/profile_tile.dart", "Dart", 32, 1, 3, 36
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/profile/repository/profile_repo.dart", "Dart", 84, 0, 6, 90
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/data/ack_data_model.dart", "Dart", 23, 3, 9, 35
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/data/client_info_model.dart", "Dart", 49, 6, 17, 72
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/data/hive_client_model.dart/hive_client_model.dart", "Dart", 15, 0, 3, 18
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/data/hive_client_model.dart/hive_client_model.g.dart", "Dart", 41, 4, 8, 53
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/data/local_datasrc/hive_local.dart", "Dart", 26, 9, 6, 41
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/data/selling_data/furniture_model_type_model.dart", "Dart", 89, 3, 12, 104
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/data/selling_data/selling_my_orders_model.dart", "Dart", 259, 3, 21, 283
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/data/selling_data/selling_warehouse_model.dart", "Dart", 195, 3, 25, 223
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/data/selling_data/wallet_model.dart", "Dart", 57, 3, 8, 68
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/data/selling_orders_model.dart", "Dart", 187, 3, 27, 217
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/data/selling_send_data.dart", "Dart", 128, 0, 17, 145
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/blocs/seller_bloc/seller_bloc.dart", "Dart", 190, 33, 49, 272
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/blocs/seller_bloc/seller_event.dart", "Dart", 63, 1, 30, 94
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/blocs/seller_bloc/seller_state.dart", "Dart", 56, 1, 4, 61
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/blocs/selling_bloc/selling_bloc.dart", "Dart", 138, 2, 25, 165
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/blocs/selling_bloc/selling_event.dart", "Dart", 48, 0, 26, 74
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/blocs/selling_bloc/selling_state.dart", "Dart", 86, 0, 4, 90
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/pages/accept_order.dart", "Dart", 156, 19, 6, 181
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/pages/add_client_page.dart", "Dart", 248, 50, 15, 313
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/pages/add_order.dart", "Dart", 354, 21, 10, 385
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/pages/add_payment.dart", "Dart", 391, 2, 18, 411
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/pages/check_order.dart", "Dart", 369, 2, 11, 382
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/pages/notification_page.dart", "Dart", 48, 0, 6, 54
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/pages/orders_page.dart", "Dart", 227, 0, 7, 234
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/pages/payment_order.dart", "Dart", 193, 0, 10, 203
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/pages/receipt_page.dart", "Dart", 324, 2, 16, 342
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/pages/seller.dart", "Dart", 121, 107, 14, 242
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/pages/selling_warehouse.dart", "Dart", 392, 0, 12, 404
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/pages/update_order.dart", "Dart", 316, 15, 15, 346
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/pages/update_payment.dart", "Dart", 348, 2, 16, 366
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/widgets/accept_order_card.dart", "Dart", 170, 0, 5, 175
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/widgets/add_order_button.dart", "Dart", 50, 0, 3, 53
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/widgets/add_order_dropdown.dart", "Dart", 81, 0, 4, 85
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/widgets/add_order_field.dart", "Dart", 77, 0, 5, 82
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/widgets/client_receipt_info.dart", "Dart", 62, 0, 4, 66
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/widgets/dropdown_client_from.dart", "Dart", 203, 5, 3, 211
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/widgets/furnituretype_model_bottom_sheet.dart", "Dart", 148, 0, 3, 151
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/widgets/label_textfield.dart", "Dart", 40, 0, 4, 44
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/widgets/order_receipt_info.dart", "Dart", 95, 0, 3, 98
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/widgets/order_tile_widget.dart", "Dart", 81, 0, 6, 87
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/widgets/pause_button.dart", "Dart", 74, 0, 3, 77
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/widgets/payment_receipt_info.dart", "Dart", 78, 0, 1, 79
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/widgets/phone_textfield.dart", "Dart", 157, 1, 7, 165
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/widgets/seller_card.dart", "Dart", 227, 383, 15, 625
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/widgets/seller_nofication_card.dart", "Dart", 76, 0, 3, 79
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/widgets/share_seller_list.dart", "Dart", 100, 0, 8, 108
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/widgets/unbook_dialog.dart", "Dart", 96, 0, 1, 97
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/widgets/warehouse_card.dart", "Dart", 280, 0, 13, 293
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/presentation/widgets/warehouse_date_time.dart", "Dart", 89, 0, 6, 95
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/repository/seller_repo.dart", "Dart", 252, 1, 10, 263
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller/repository/selling_repo.dart", "Dart", 330, 4, 26, 360
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller_admin/data/admin_seller_visits.dart", "Dart", 97, 3, 18, 118
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller_admin/data/admin_seller_visits_sellers.dart", "Dart", 35, 3, 9, 47
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller_admin/presentation/blocs/seller_admin_bloc.dart", "Dart", 91, 14, 19, 124
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller_admin/presentation/blocs/seller_admin_event.dart", "Dart", 29, 1, 15, 45
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller_admin/presentation/blocs/seller_admin_state.dart", "Dart", 65, 0, 7, 72
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller_admin/presentation/pages/accept_clients.dart", "Dart", 139, 0, 6, 145
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller_admin/presentation/pages/admin_clients.dart", "Dart", 76, 0, 5, 81
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller_admin/presentation/pages/admin_seller.dart", "Dart", 166, 24, 15, 205
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller_admin/presentation/pages/stored_clients.dart", "Dart", 108, 0, 5, 113
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller_admin/presentation/widgets/admin_visit_card.dart", "Dart", 153, 4, 5, 162
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller_admin/presentation/widgets/admin_visit_sellers.dart", "Dart", 365, 158, 8, 531
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller_admin/presentation/widgets/seller_tile.dart", "Dart", 39, 0, 4, 43
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller_admin/presentation/widgets/sellers_widget.dart", "Dart", 106, 0, 6, 112
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/features/seller_admin/repository/seller_admin_repo.dart", "Dart", 166, 0, 9, 175
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/firebase_options.dart", "Dart", 54, 12, 4, 70
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/main.dart", "Dart", 28, 0, 3, 31
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/services/dio_exceptions.dart", "Dart", 46, 0, 5, 51
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/services/endpoints.dart", "Dart", 21, 10, 4, 35
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/services/firebase_push_notification.dart", "Dart", 40, 0, 12, 52
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/services/local_notification_service.dart", "Dart", 38, 0, 8, 46
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/services/socket_io_client_service.dart", "Dart", 135, 1, 21, 157
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/src/decoration/input_decoration.dart", "Dart", 15, 0, 4, 19
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/src/decoration/input_text_mask.dart", "Dart", 44, 4, 11, 59
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/src/shimmers/accept_widget_shimmer.dart", "Dart", 46, 0, 4, 50
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/src/shimmers/admin_visit_shimmer.dart", "Dart", 94, 0, 3, 97
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/src/shimmers/my_orders_shimmer.dart", "Dart", 52, 0, 3, 55
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/src/shimmers/seller_card_shimmer.dart", "Dart", 47, 0, 3, 50
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/src/shimmers/sellertile_shimmer.dart", "Dart", 33, 0, 3, 36
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/src/shimmers/selling_warehouse_shimmer.dart", "Dart", 69, 0, 3, 72
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/src/theme/text_styles.dart", "Dart", 53, 0, 3, 56
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/src/ui_tools/ui_tools.dart", "Dart", 22, 0, 2, 24
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/src/validators/validators.dart", "Dart", 26, 0, 6, 32
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/src/widgets/appbar_widget.dart", "Dart", 35, 0, 5, 40
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/src/widgets/big_textfield_widget.dart", "Dart", 52, 4, 3, 59
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/src/widgets/longbutton.dart", "Dart", 79, 0, 3, 82
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/src/widgets/radio_button.dart", "Dart", 58, 0, 5, 63
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/src/widgets/textfield_widget.dart", "Dart", 118, 4, 3, 125
"/Users/javoxir/Documents/WOODLINE/admin_seller/lib/src/widgets/transparent_longbutton.dart", "Dart", 50, 0, 3, 53
"Total", "-", 12964, 1051, 1129, 15144